time,Localisation,FID,code_qual,lib_qual,coul_qual,date_dif,source,type_zone,code_zone,lib_zone,code_no2,code_so2,code_o3,code_pm10,code_pm25,x_wgs84,y_wgs84,x_reg,y_reg,epsg_reg,geom,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-09-22,Brest,ind_bretagne.2021-09-22 02:00:00+02.242900314,2,Moyen,#50CCAA,2021-09-22T02:00:00Z,Air Breizh,EPCI,242900314,Brest Métropole,1,1,2,1,2,-4.47051742,48.39962987,147878.2242,6837175.794,2154,POINT (147878.22420658765 6837175.794037035),15.2,11.5,20.5,0,,37,11.1,31.5,1028.6,
2021-09-22,Quimper,ind_bretagne.2021-09-22 02:00:00+02.200068120,3,Dégradé,#F0E641,2021-09-22T02:00:00Z,Air Breizh,EPCI,200068120,CA Quimper Bretagne Occidentale,1,1,3,1,2,-4.08515464,48.04597874,172753.63056731,6795400.54381628,2154,POINT (172753.63056731108 6795400.543816281),15.4,10.2,21.9,,,34,8.6,27.8,1028.1,
2021-09-22,Rennes,ind_bretagne.2021-09-22 02:00:00+02.243500139,3,DÃ©gradÃ©,#F0E641,2021-09-22T02:00:00Z,Air Breizh,EPCI,243500139,Rennes MÃ©tropole,2,1,3,1,2,-1.71146934,48.10815818,349555.007,6789093.387,2154,POINT (349555.0070453745 6789093.386528317),15.2,7.7,22.3,0,,10,8.5,31,1027.7,
2021-09-22,Saint-Brieuc,ind_bretagne.2021-09-22 02:00:00+02.200069409,3,Dégradé,#F0E641,2021-09-22T02:00:00Z,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,2,1,3,1,2,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148),14.1,10.1,18.5,,,16,6.9,27.8,1028.4,
2021-09-22,Vannes,ind_bretagne.2021-09-22 02:00:00+02.200067932,3,Dégradé,#F0E641,2021-09-22T02:00:00Z,Air Breizh,EPCI,200067932,CA Golfe du Morbihan - Vannes,1,1,3,1,2,-2.73625092,47.67660119,269961.1107,6746307.899,2154,POINT (269961.1106939723 6746307.8992528645),14.8,9,21,0,,33,11.7,,1027.1,
2021-09-23,Brest,ind_bretagne.2021-09-23 02:00:00+02.242900314,2,Moyen,#50CCAA,2021-09-23T02:00:00Z,Air Breizh,EPCI,242900314,Brest Métropole,1,1,2,1,1,-4.47051742,48.39962987,147878.2242,6837175.794,2154,POINT (147878.22420658765 6837175.794037035),14.1,9.6,18.2,0,,354,8,27.8,1024.9,
2021-09-23,Quimper,ind_bretagne.2021-09-23 02:00:00+02.200068120,2,Moyen,#50CCAA,2021-09-23T02:00:00Z,Air Breizh,EPCI,200068120,CA Quimper Bretagne Occidentale,1,1,2,1,1,-4.08515464,48.04597874,172753.63056731,6795400.54381628,2154,POINT (172753.63056731108 6795400.543816281),14.3,10.4,19.4,,,7,9.4,31.5,1024.6,
2021-09-23,Rennes,ind_bretagne.2021-09-23 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-09-23T02:00:00Z,Air Breizh,EPCI,243500139,Rennes MÃ©tropole,2,1,2,2,1,-1.71146934,48.10815818,349555.007,6789093.387,2154,POINT (349555.0070453745 6789093.386528317),14.3,7.6,21.4,0.3,,326,9.7,33,1023.7,
2021-09-23,Saint-Brieuc,ind_bretagne.2021-09-23 02:00:00+02.200069409,2,Moyen,#50CCAA,2021-09-23T02:00:00Z,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,2,1,1,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148),14.1,10.1,19.1,,,292,7.7,22.2,1024.3,
2021-09-23,Vannes,ind_bretagne.2021-09-23 02:00:00+02.200067932,2,Moyen,#50CCAA,2021-09-23T02:00:00Z,Air Breizh,EPCI,200067932,CA Golfe du Morbihan - Vannes,1,1,2,1,1,-2.73625092,47.67660119,269961.1107,6746307.899,2154,POINT (269961.1106939723 6746307.8992528645),14.9,10,21,0,,10,11.3,,1023,
