time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,Localisation
2021-09-22,15.2,7.7,22.3,0.0,,10.0,8.5,31.0,1027.7,,Rennes
2021-09-23,14.3,7.6,21.4,0.3,,326.0,9.7,33.0,1023.7,,Rennes
2021-09-24,14.1,8.2,21.0,0.0,,320.0,6.5,21.0,1019.5,,Rennes
2021-09-25,14.6,7.5,20.6,0.3,,125.0,5.8,20.4,1014.4,,Rennes
2021-09-26,18.9,16.7,22.8,0.3,,204.0,13.7,33.0,1014.2,,Rennes
2021-09-27,16.7,12.8,20.4,2.8,,223.0,21.0,54.0,1016.7,,Rennes
2021-09-28,14.3,10.6,20.4,0.5,,192.0,14.4,50.0,1020.6,,Rennes
2021-09-29,13.6,9.7,18.2,1.5,,288.0,15.8,44.0,1024.3,,Rennes
2021-09-30,10.3,4.7,19.4,0.0,,197.0,10.7,40.8,1027.1,,Rennes
2021-10-01,15.1,12.6,20.6,0.0,,202.0,15.4,44.0,1016.6,,Rennes
2021-10-02,15.0,10.8,18.2,12.7,,187.0,20.1,68.0,1004.3,,Rennes
2021-10-03,13.8,11.3,18.2,53.6,,258.0,14.6,72.2,1002.8,,Rennes
2021-10-04,14.2,10.2,19.7,0.3,,198.0,16.4,44.0,1013.3,,Rennes
2021-10-05,13.9,10.6,17.0,7.9,,256.0,21.5,54.0,1010.5,,Rennes
2021-10-06,13.2,8.4,18.6,0.5,,262.0,11.7,31.0,1024.0,,Rennes
2021-10-07,15.1,11.8,17.5,0.0,,148.0,4.7,38.9,1027.2,,Rennes
2021-10-08,15.3,11.4,20.4,0.0,,65.0,9.3,30.0,1027.4,,Rennes
2021-10-09,13.4,6.5,20.5,0.0,,343.0,8.6,33.0,1026.4,,Rennes
2021-10-10,13.1,8.0,18.8,0.3,,13.0,10.5,31.0,1028.2,,Rennes
2021-10-11,12.9,8.1,18.4,0.0,,7.0,10.5,31.0,1030.0,,Rennes
2021-10-12,10.5,4.4,18.0,0.3,,304.0,6.5,27.8,1027.5,,Rennes
2021-10-13,11.7,5.6,18.3,0.0,,330.0,5.9,22.2,1027.7,,Rennes
2021-10-14,10.3,4.2,16.6,0.0,,95.0,5.9,26.0,1026.2,,Rennes
2021-10-15,10.4,4.6,18.4,0.0,,334.0,5.7,24.1,1020.8,,Rennes
2021-10-16,11.1,6.5,17.5,0.0,,107.0,5.5,22.0,1020.4,,Rennes
2021-10-17,12.6,7.7,19.6,0.3,,131.0,9.0,22.0,1017.8,,Rennes
2021-10-18,14.4,8.6,17.8,0.3,,157.0,12.7,42.0,1019.1,,Rennes
